name,sid,examples,features,task_type,d_output,context,feature_CATEGORICAL,feature_NUMERIC,feature_TEXT,feature_DATE,feature_BOOLEAN,benchmark_AMLB,benchmark_CTR23,benchmark_GRINSZTAJN,benchmark_MULTIMODAL,benchmark_VECTORIZING,benchmark_CARTE,benchmark_TABZILLA
ada,41156_BIN_ANONYM_ADA,4147,46,⚖️ binary,2,Anonymized Dataset: Ada,0,6,0,0,40,True,False,False,False,False,False,True
albert,41147_BIN_ANONYM_ALBERT,425240,78,⚖️ binary,2,Anonymized Dataset: Albert,13,65,0,0,0,True,False,True,False,False,False,True
APSFailure,41138_BIN_ANONYM_APS_FAILURE,76000,169,⚖️ binary,2,APS Failure,0,168,0,0,1,True,False,False,False,False,False,False
arcene,41157_BIN_ANONYM_ARCENE,100,9920,⚖️ binary,2,Anonym Dataset: Arcene,0,9824,0,0,96,True,False,False,False,False,False,False
Australian,40981_BIN_ANONYM_AUSTRALIAN_CREDIT_APPROVAL,690,14,⚖️ binary,2,Australian Credit Approval,4,6,0,0,4,True,False,False,False,False,False,True
autoUniv-au1-1000,1547_BIN_ANONYM_AUTOUNIV_AU1,1000,20,⚖️ binary,2,Anonymized Dataset: AutoUniv-au1-1000 advanced data generator for classifications tasks,0,0,0,0,20,False,False,False,False,False,False,False
Bioresponse,4134_BIN_ANONYM_BIORESPONSE,3751,1776,⚖️ binary,2,Molecules and their biological response,0,941,0,0,835,True,False,True,False,False,False,True
christine,41142_BIN_ANONYM_CHRISTINE,5418,1611,⚖️ binary,2,Anonymized Dataset: Christine,0,1599,0,0,12,True,False,False,False,False,False,False
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,40650_BIN_ANONYM_GAMETES,1600,20,⚖️ binary,2,Anonymized Gametes dataset,19,0,0,0,1,False,False,False,False,False,False,False
gina,41158_BIN_ANONYM_GINA,3153,970,⚖️ binary,2,Anonymized Dataset: Gina,0,970,0,0,0,True,False,False,False,False,False,False
guillermo,41159_BIN_ANONYM_GUILLERMO,20000,4281,⚖️ binary,2,Anonymized Dataset: Guillermo,0,4280,0,0,1,True,False,False,False,False,False,True
jasmine,41143_BIN_ANONYM_JASMINE,2984,144,⚖️ binary,2,Anonymized Dataset: Jasmine,0,8,0,0,136,True,False,False,False,False,False,True
KDD98,42343_BIN_ANONYM_KDDCUP_98_DIRECT_MAIL,82318,477,⚖️ binary,2,Anonymized KDD98 Direct Mailing for Donation,83,350,15,0,29,False,False,False,False,False,False,False
KDDCup09_appetency,1111_BIN_ANONYM_KDDCUP_09_APPETENCY,50000,207,⚖️ binary,2,CRM data from French Telecom company for product propensity prediction,18,166,12,0,11,True,False,False,False,False,False,False
KDDCup09-Upselling,43072_BIN_ANONYM_KDDCUP_09_UPSELLING,50000,13419,⚖️ binary,2,CRM data from French Telecom company for Upselling,104,7510,13,0,5792,True,False,False,False,False,False,False
madeline,41144_BIN_ANONYM_MADELINE,3140,259,⚖️ binary,2,Anonymized Dataset: Madeline,0,259,0,0,0,True,False,False,False,False,False,False
madelon,1485_BIN_ANONYM_MADELONE,2600,500,⚖️ binary,2,MADELON Data points random in hypercube,0,500,0,0,0,False,False,False,False,False,False,False
mammography,310_BIN_ANONYM_MAMMOGRAPHY,11183,6,⚖️ binary,2,Anonymized: Mammography Results,0,6,0,0,0,False,False,False,False,False,False,False
monks-problems-2,334_BIN_ANONYM_MONKS_PROBLEM_2,601,6,⚖️ binary,2,Anonymized: MONK's Problems: Problem 2,4,0,0,0,2,False,False,False,False,False,False,True
numerai28.6,23517_BIN_ANONYM_NUMERAI_28_6,96320,21,⚖️ binary,2,Encrypted Stock Market Training Data from Numer.ai,0,21,0,0,0,True,False,False,False,False,False,False
oil_spill,311_BIN_ANONYM_OIL_SPILL,937,48,⚖️ binary,2,Anonymized: Oil Spill Dataset,0,47,0,0,1,False,False,False,False,False,False,False
philippine,41145_BIN_ANONYM_PHILIPPINE,5832,308,⚖️ binary,2,Anonymized Dataset: Philippine,0,308,0,0,0,True,False,False,False,False,False,False
porto-seguro,42742_BIN_ANONYM_PORTO_SEGURO,595212,57,⚖️ binary,2,Porto Seguros Safe Driver Prediction,7,27,0,0,23,True,False,False,False,False,False,False
riccardo,41161_BIN_ANONYM_RICARDO,20000,4283,⚖️ binary,2,Anonymized Dataset: Ricardo,0,4283,0,0,0,True,False,False,False,False,False,False
Satellite,40900_BIN_ANONYM_SATELLITE,5100,36,⚖️ binary,2,Anonymized Dataset: Satellite,0,36,0,0,0,True,False,False,False,False,False,False
sylvine,41146_BIN_ANONYM_SYLVINE,5124,20,⚖️ binary,2,Anonymized Dataset: Sylvine,0,20,0,0,0,True,False,False,False,False,False,False
twonorm,1507_BIN_ANONYM_TWONORM,7400,20,⚖️ binary,2,Twonorm experiment: multivariate normal distribution with unit variance,0,20,0,0,0,False,False,False,False,False,False,False
xd6,40693_BIN_ANONYM_XD6,973,9,⚖️ binary,2,Anonymized: Disjunctive Normal Form - XD6,0,0,0,0,9,False,False,False,False,False,False,False
tokyo1,40705_BIN_COMPUTERS_CPU_TOKYO1,959,42,⚖️ binary,2,Tokyo SGI Server Performance Data,0,41,0,0,1,False,False,False,False,False,False,False
Bank-Note-Authentication-UCI,43466_BIN_COMPUTERS_IMAGE_BANK_NOTE_AUTHENTICATION,1372,4,⚖️ binary,2,Bank Note Authentication from images,0,4,0,0,0,False,False,False,False,False,False,False
skin-segmentation,1502_BIN_COMPUTERS_IMAGE_SKIN_SEGMENTATION,245057,3,⚖️ binary,2,Skin Image Segmentation,0,3,0,0,0,False,False,False,False,False,False,False
mozilla4,1046_BIN_COMPUTERS_MOZILLA,15545,5,⚖️ binary,2,Mozilla Classes,0,4,0,0,1,False,False,False,False,False,False,False
kc1,1067_BIN_COMPUTERS_KC1_CODE_DEFECTIONS,2109,21,⚖️ binary,2,Source Code Quality Prediction: KC1,0,21,0,0,0,True,False,False,False,False,False,True
pc4,1049_BIN_COMPUTERS_PC4_CODE_DEFECTIONS,1458,37,⚖️ binary,2,Source Code Quality Prediction for PC4,0,36,0,0,1,True,False,False,False,False,False,False
Binary-Dataset-of-Phishing-and-Legitimate-URLs,43622_BIN_COMPUTERS_PHISHING_URL_WEBSITES,11000,14,⚖️ binary,2,URL Websites for Phishing Detection,0,12,0,0,2,False,False,False,False,False,False,False
PhishingWebsites,4534_BIN_COMPUTERS_PHISHING_WEBSITE_HUDDERSFIELD,11055,30,⚖️ binary,2,Phishing Detection Websites,8,0,0,0,22,True,False,False,False,False,False,False
blastchar,46280_BIN_CONSUMER_BLASTCHAR_TELCOM_CHURN,7043,19,⚖️ binary,2,Telcom Company Customer Behavior for Churn Prediction,10,3,0,0,6,False,False,False,False,False,False,False
Churn_Telco_Europa,44228_BIN_CONSUMER_CHURN_TELCO_EUROPA,190776,17,⚖️ binary,2,Telco Europa Customers Churn Prediction,0,17,0,0,0,False,False,False,False,False,False,False
Data_Science_Nigeria_Telecoms_Churn,44230_BIN_CONSUMER_CHURN_TELCO_NIGERIA,1400,14,⚖️ binary,2,Nigerian Telcom Company Customer Churn Prediction,4,10,0,0,0,False,False,False,False,False,False,False
South_Asian_Churn_dataset,44227_BIN_CONSUMER_CHURN_TELCO_SOUTH_ASIA,2000,13,⚖️ binary,2,South Asian Wireless Telcom Operator Customer Churn Prediction,4,9,0,0,0,False,False,False,False,False,False,False
churn,40701_BIN_CONSUMER_CHURN_TELEPHONY,5000,20,⚖️ binary,2,Telephone Company Customer Churn Prediction,2,16,0,0,2,True,False,False,False,False,False,False
Click_prediction_small,42733_BIN_CONSUMER_CLICK_PREDICTION,39948,11,⚖️ binary,2,Consumer Click Prediction,0,11,0,0,0,True,False,False,False,False,False,False
dresses-sales,23381_BIN_CONSUMER_DRESS_DALES,500,12,⚖️ binary,2,Dress Sales,11,1,0,0,0,False,False,False,False,False,False,False
electricity,44156_BIN_CONSUMER_ELECTRICITY_PRICE_TREND,38474,8,⚖️ binary,2,Electricity Price Trend,1,7,0,0,0,False,False,True,False,False,False,True
Hotel-Reviews,43721_BIN_CONSUMER_HOTEL_REVIEW,38932,3,⚖️ binary,2,Leading Traveling Website Hotel Reviews,2,0,1,0,0,False,False,False,False,False,False,False
Internet-Advertisements,40978_BIN_CONSUMER_INTERNET_ADVERTISEMENTS,3279,1558,⚖️ binary,2,Internet Advertisements,0,3,0,0,1555,True,False,False,False,False,False,False
mobile_churn,44231_BIN_CONSUMER_MOBILE_CHURN,66469,63,⚖️ binary,2,Mobile Operator Customer Churn Prediction,0,58,0,0,5,False,False,False,False,False,False,False
NewspaperChurn,44226_BIN_CONSUMER_NEWSPAPER_CHURN,15855,16,⚖️ binary,2,Newspaper Customers Churn Prediction,10,3,1,0,2,False,False,False,False,False,False,False
online-shoppers-intention,45560_BIN_CONSUMER_ONLINE_SHOPPERS_PURCHASE_INTENTION,12330,17,⚖️ binary,2,Online Shoppers Purchase Intention Prediction,6,10,0,0,1,False,False,False,False,False,False,False
Tour-and-Travels-Customer-Churn-Prediction,45545_BIN_CONSUMER_TOUR_TRAVEL_CHURN,954,6,⚖️ binary,2,Tour and Travels Customer Churn Prediction,1,2,0,0,3,False,False,False,False,False,False,False
wholesale-customers,1511_BIN_CONSUMER_WHOLESALE_CUSTOMERS_PORTUGAL,440,7,⚖️ binary,2,Wholesale Customers in Portugal,1,6,0,0,0,False,False,False,False,False,False,False
Municipal-Debt-Risk-Analysis,43838_BIN_FINANCIAL_ACCOUNT_DEBT_SOUTH_AFRICA,138509,13,⚖️ binary,2,Municipal Debt Risk Analysis for South African Accounts,1,11,0,0,1,False,False,False,False,False,False,False
adult,1590_BIN_FINANCIAL_ADULT_INCOME,48842,14,⚖️ binary,2,USA Adult Citizens Income Prediction,7,6,0,0,1,True,False,False,False,False,False,False
audit-data,42931_BIN_FINANCIAL_AUDIT_RISK,1552,35,⚖️ binary,2,Fraudulent Firm Classification,1,32,0,0,2,False,False,False,False,False,False,False
BAF_base,46646_BIN_FINANCIAL_BANK_ACCOUNT_FRAUD_BAF,1000000,30,⚖️ binary,2,Bank Account Fraud (BAF),4,19,0,0,7,False,False,False,False,False,False,False
shrutime,45062_BIN_FINANCIAL_BANK_CUSTOMER_CHURN_SHRUTIME,10000,10,⚖️ binary,2,Bank Customers Churn Prediction,3,4,0,0,3,False,False,False,False,False,False,False
bank-marketing,1461_BIN_FINANCIAL_BANK_MARKETING,45211,16,⚖️ binary,2,Direct Phone Marketing Campaigns of a Portuguese Banking Institution,6,7,0,0,3,True,False,True,False,False,False,False
Personal-Loan-Modeling,43826_BIN_FINANCIAL_BANK_PERSONAL_LOAN_MODELING,5000,12,⚖️ binary,2,Liability Bank Customers,0,8,0,0,4,False,False,False,False,False,False,False
qualitative-bankruptcy,1495_BIN_FINANCIAL_BANKRUPTCY_QUALITATIVE,250,6,⚖️ binary,2,Bankruptcy from Qualitative parameters from experts,6,0,0,0,0,False,False,False,False,False,False,False
Credit_Card_Fraud_,45955_BIN_FINANCIAL_CC_FRAUD,1000000,7,⚖️ binary,2,Credit Card Transactions for Fraud Detection,0,3,0,0,4,False,False,False,False,False,False,False
Is_fraud,46369_BIN_FINANCIAL_CC_FRAUD_TRANSACTION,5227,19,⚖️ binary,2,Transaction Fraud Detection for US Credit Card Transactions,2,8,6,2,1,False,False,False,False,False,False,False
Default-of-Credit-Card-Clients-Dataset,43435_BIN_FINANCIAL_CC_TAIWAN_CREDIT_DEFAULT,30000,23,⚖️ binary,2,Taiwan Credit Card Clients during 2005,2,20,0,0,1,False,False,True,False,False,False,False
FICO-HELOC-cleaned,45554_BIN_FINANCIAL_CREDIT_FICO_HELOC,9871,23,⚖️ binary,2,Financial Credit Risk of Home Equity Line (HELOC),2,21,0,0,0,False,False,True,False,False,False,False
credit-g,31_BIN_FINANCIAL_CREDIT_GERMAN,1000,20,⚖️ binary,2,Financial credit history of German customers,11,6,0,0,3,True,False,False,False,False,False,True
Give-Me-Some-Credit,45577_BIN_FINANCIAL_CREDIT_GIVE_ME_SOME,150000,10,⚖️ binary,2,Credit Scoring for Financial Distress Prediction,0,10,0,0,0,False,False,True,False,False,False,False
Credit-Risk-Dataset,43454_BIN_FINANCIAL_CREDIT_RISK_DEFAULT,32581,11,⚖️ binary,2,Credit Risk Default Prediction,3,7,0,0,1,False,False,False,False,False,False,False
Fraud-Detection-Updated,46359_BIN_FINANCIAL_FRAUD_DETECTION,4156,27,⚖️ binary,2,Fraud Detection Dataset,1,23,0,0,3,False,False,False,False,False,False,False
hcdr_main,45567_BIN_FINANCIAL_HOME_CREDIT_DEFAULT_RISK,307511,120,⚖️ binary,2,Home Credit Default Risk Prediction,12,72,0,0,36,False,False,False,False,False,False,False
HMEQ_Data,43337_BIN_FINANCIAL_HOME_EQUITY_CREDIT,5960,12,⚖️ binary,2,Home Equity Line of Credit Approval Applications,1,10,0,0,1,False,False,False,False,False,False,False
Loan-Predication,43595_BIN_FINANCIAL_LOAN_STATUS_PREDICTION,614,11,⚖️ binary,2,Customers evaluated for loan eligibility process.,2,4,0,0,5,False,False,False,False,False,False,False
LT-Vehicle-Loan-Default-Prediction,46430_BIN_FINANCIAL_LT_VEHICLE_LOAN,233154,38,⚖️ binary,2,Vehicle Loan Default Applications for Indian Customers,1,29,0,2,6,False,False,False,False,False,False,False
TVS_Loan_Default,43743_BIN_FINANCIAL_TVS_CREDIT_LOAN,119528,29,⚖️ binary,2,Personal Load Default LTS,4,22,0,1,2,False,False,False,False,False,False,False
musk,1116_BIN_GENETICS_MUSK_MOLECULES,6598,167,⚖️ binary,2,Anonymized Dataset Musk about Molecular Structure,0,166,1,0,0,False,False,False,False,False,False,False
OVA_Breast,1128_BIN_GENETICS_OVA_BREAST,1545,10935,⚖️ binary,2,Genetics expression to identify OVA Breast,0,10935,0,0,0,False,False,False,False,False,False,False
nomao,1486_BIN_GEOGRAPHY_NOMAO_SEARCH_ENGINE,34465,118,⚖️ binary,2,Nomao Search Engine,27,89,0,0,2,True,False,False,False,False,False,True
darwin,46606_BIN_HEALTHCARE_ALZHEIMER_HANDWRITE_DARWIN,174,450,⚖️ binary,2,Alzheimer Disease Detection via Handwriting,0,450,0,0,0,False,False,False,False,False,False,False
blood-transfusion-service-center,1464_BIN_HEALTHCARE_BLOOD_TRANSFUSION,748,4,⚖️ binary,2,Blood Transfusion Service Center in Taiwan,0,4,0,0,0,True,False,False,False,False,False,False
bone_marrow_transplant_children,46610_BIN_HEALTHCARE_BONE_MARROW_TRANSPLANT_CHILDREN,187,36,⚖️ binary,2,Bone Marrow Transplant Children: Survival Analysis,1,18,0,0,17,False,False,False,False,False,False,False
Breast-cancer-prediction,43687_BIN_HEALTHCARE_BREAST_CANCER_MAMMOGRAM,39998,11,⚖️ binary,2,Mammograms by woman within the Breast Cancer Surveillance Consortium,8,1,1,0,1,False,False,False,False,False,False,False
breast-w,15_BIN_HEALTHCARE_BREAST_CANCER_WISCONSIN,699,9,⚖️ binary,2,Breast Cancer Wisconsin,0,9,0,0,0,False,False,False,False,False,False,False
breast-cancer,13_BIN_HEALTHCARE_BREAST_CANCER_YUGOSLAVIA,286,9,⚖️ binary,2,Breast Cancer Yugoslavia,6,0,0,0,3,False,False,False,False,False,False,False
wdbc,1510_BIN_HEALTHCARE_CELLS_WDBC_WISCONSIN_BREAST_CANCER,569,30,⚖️ binary,2,Wisconsin Cells Dataset for Breast Cancer,0,30,0,0,0,False,False,False,False,False,False,False
Cardiovascular-Disease-dataset,45547_BIN_HEALTHCARE_CARDIOVASCULAR_DISEASE,70000,11,⚖️ binary,2,Patient Medical Examination Records for Cardiovascular Disease,2,5,0,0,4,False,False,False,False,False,False,False
cdc_diabetes,46598_BIN_HEALTHCARE_DIABETES_CDC_DEMOGRAPHICS,253680,21,⚖️ binary,2,CDC Diabetes Lifestyle Study,0,7,0,0,14,False,False,False,False,False,False,False
Early-Stage-Diabetes-Risk-Prediction-Dataset,43643_BIN_HEALTHCARE_DIABETES_EARLY_STAGE,520,16,⚖️ binary,2,Diabetes Early Stage Risk Prediction in Bangladesh,0,1,0,0,15,False,False,False,False,False,False,False
Diabetes_Dataset,46254_BIN_HEALTHCARE_DIABETES_RISK_FACTORS,768,8,⚖️ binary,2,Diabetes Risk Factors,0,8,0,0,0,False,False,False,False,False,False,False
glioma_grading_clinical_and_mutation_features,46604_BIN_HEALTHCARE_GLIOMA_BRAIN_TUMOR,839,23,⚖️ binary,2,Glioma Brain Tumor Grading,1,1,0,0,21,False,False,False,False,False,False,False
Heart-Disease-Dataset-(Comprehensive),43672_BIN_HEALTHCARE_HEART_DISEASE,1190,11,⚖️ binary,2,Heart Disease Patients,0,8,0,0,3,False,False,False,False,False,False,True
Heart_Failure_Prediction,45950_BIN_HEALTHCARE_HEART_FAILURE,5000,12,⚖️ binary,2,Clinical Records of Patients with Heart Failure,0,7,0,0,5,False,False,False,False,False,False,False
Insurance,45064_BIN_HEALTHCARE_INSURANCE_LEAD_PREDICTION,23548,10,⚖️ binary,2,Health Insurance Lead Prediction,4,3,0,0,3,False,False,False,False,False,False,False
chronic-kidney-disease,42972_BIN_HEALTHCARE_KIDNEY_CHRONIC_DISEASE,400,25,⚖️ binary,2,Kidney Chronic Disease,5,12,0,0,8,False,False,False,False,False,False,False
ilpd,1480_BIN_HEALTHCARE_LIVER_INDIAN_ILPD,583,10,⚖️ binary,2,Indian Liver Patient Dataset,0,9,0,0,1,False,False,False,False,False,False,False
arsenic-male-lung,951_BIN_HEALTHCARE_LUNG_MALE_ARSENIC,559,4,⚖️ binary,2,Arsenic Male Lung,1,3,0,0,0,False,False,False,False,False,False,False
mental-health-in-tech-survey,46719_BIN_HEALTHCARE_MENTAL_HEALTH_TECH,1259,26,⚖️ binary,2,Mental Health in Tech Survey,18,1,1,1,5,False,False,False,False,False,False,False
physionet_sepsis,46677_BIN_HEALTHCARE_SEPSIS_PHYSIONET,1552210,42,⚖️ binary,2,Sepsis Prediction,0,39,0,0,3,False,False,False,False,False,False,False
differentiated_thyroid_cancer_recurrence,46605_BIN_HEALTHCARE_THYROID_CANCER,383,16,⚖️ binary,2,Thyroid Cancer Recurrence,9,1,0,0,6,False,False,False,False,False,False,False
cylinder-bands,6332_BIN_INDUSTRIAL_CYLINDER_BANDING_PRINTING,540,34,⚖️ binary,2,Process Delays - Cylinder Banding in Rotogravure Printing,11,17,0,0,6,False,False,False,False,False,False,False
colic,25_BIN_NATURE_COLIC_HORSES_SURGICAL_LESION,368,26,⚖️ binary,2,Colic Surgery on Horses,14,8,0,0,4,False,False,False,False,False,False,True
wilt,40983_BIN_NATURE_DISEASED_TREES_WILT,4839,5,⚖️ binary,2,Trees Wilt Disease Detection Images,0,5,0,0,0,True,False,False,False,False,False,False
ozone-level-8hr,1487_BIN_NATURE_OZONE_LEVEL,2534,72,⚖️ binary,2,Ozone Level Detection,0,72,0,0,0,True,False,False,False,False,False,False
mushroom,24_BIN_NATURE_MUSHROOM_POISONOUS,8124,21,⚖️ binary,2,Mushroom Physical Characteristics and Poisonous Detection,16,0,0,0,5,False,False,False,False,False,False,False
phoneme,1489_BIN_NATURE_PHONEME_SOUNDS,5404,5,⚖️ binary,2,Nasal and Oral Sounds Recognition,0,5,0,0,0,True,False,False,False,False,False,True
college_scorecard,46674_BIN_PROFESSIONAL_ACADEMIC_COLLEGE_SCORECARD,124699,117,⚖️ binary,2,Academic Institution Completion Rate,1,113,0,0,3,False,False,False,False,False,False,False
Amazon_employee_access,4135_BIN_PROFESSIONAL_AMAZON_EMPLOYEE_ACCESS,32769,9,⚖️ binary,2,Amazon Employee Access,0,9,0,0,0,True,False,False,False,False,False,False
ibm-employee-attrition,43893_BIN_PROFESSIONAL_EMPLOYEE_IBM_ATTRITION,1470,31,⚖️ binary,2,Employee Attrition at IBM,5,23,0,0,3,False,False,False,False,False,False,False
Employee-Turnover-at-TECHCO,43551_BIN_PROFESSIONAL_EMPLOYEE_TURNOVER_TECHCO,34452,9,⚖️ binary,2,Employee Turnover at TECHCO - Indian Technology Company,0,8,0,0,1,False,False,False,False,False,False,False
fake_job_postings2,46655_BIN_PROFESSIONAL_FAKE_JOB_POSTING,12725,5,⚖️ binary,2,Fake Job Posting Detection,2,0,3,0,0,False,False,False,True,False,False,False
kick_starter_funding,46668_BIN_PROFESSIONAL_KICKSTARTER_FUNDING,86502,9,⚖️ binary,2,Kickstarter Funding Prediction,2,1,3,2,1,False,False,False,True,False,False,False
LICD,46640_BIN_PROFESSIONAL_LICD_LABOR_RIGHTS,63634,413,⚖️ binary,2,Labor Rights and Corporate Governance - LICD,6,369,2,0,36,False,False,False,False,False,False,False
AVIDa-hIL6,46648_BIN_SCIENCE_ANTIGEN_AVIDA_HIL6,573891,3,⚖️ binary,2,AVIDa-hIL6 Antigen-antibody binding dataset,2,0,1,0,0,False,False,False,False,False,False,False
climate-model-simulation-crashes,40994_BIN_SCIENCE_CLIMATE_MODEL_SIMULATION_CRASHES,540,18,⚖️ binary,2,Climate Model Simulation Crashes,0,18,0,0,0,False,False,False,False,False,False,False
eye_movements,44157_BIN_SCIENCE_EYE_MOVEMENT,7608,23,⚖️ binary,2,Eye Movement Trajectory Classification,0,20,0,0,3,False,False,True,False,False,False,False
eeg-eye-state,1471_BIN_SCIENCE_EYE_STATE_EEG,14980,14,⚖️ binary,2,Eye State based on EEG Mesurements,0,14,0,0,0,False,False,False,False,False,False,False
hiva_agnostic,1039_BIN_SCIENCE_HIV_QSAR,4229,1617,⚖️ binary,2,HIV from Sparse Data - QSAR Modeling,0,0,0,0,1617,False,False,False,False,False,False,False
MagicTelescope,44125_BIN_SCIENCE_MAGIC_TELESCOPE,13376,10,⚖️ binary,2,Magic Telescope: Images of High Energy Gamma Particles,0,10,0,0,0,False,False,True,False,False,False,False
Higgs,42769_BIN_SCIENCE_PARTICLE_HIGGS,1000000,28,⚖️ binary,2,Particle Higgs Boson Detection,0,28,0,0,0,True,False,True,False,False,False,True
MiniBooNE,41150_BIN_SCIENCE_PARTICLE_MINIBOONE,130064,50,⚖️ binary,2,Particle Identification from MiniBooNE Experiment,0,50,0,0,0,True,False,True,False,False,False,True
qsar-biodeg,1494_BIN_SCIENCE_QSAR_BIODEG,1055,41,⚖️ binary,2,Quantitative Structure Activity Relationships (QSAR) Biodegradation,0,38,0,0,3,True,False,False,False,False,False,True
hill-valley,1479_BIN_SCIENCE_SIMULATION_HILL_VALLEY,1212,100,⚖️ binary,2,Datapoints Simulation Hill Valley,0,100,0,0,0,False,False,False,False,False,False,False
water-treatment,940_BIN_SCIENCE_WATER_TREATMENT,527,36,⚖️ binary,2,Water Treatment,1,35,0,0,0,False,False,False,False,False,False,False
compas-two-years,45039_BIN_SOCIAL_COMPASS_TWO_YEARS_OFFEND,4966,11,⚖️ binary,2,Correctional Offender Management Profiling for Alternative Sanctions (COMPASS): Two Years Recidivism,0,3,0,0,8,False,False,True,False,False,False,False
irish,451_BIN_SOCIAL_EDUCATIONAL_TRANSITIONS_IRISH,500,5,⚖️ binary,2,Educational transitions in Irish schoolchildren aged 11 in 1967,2,2,0,0,1,False,False,False,False,False,False,False
imdb_genre_prediction,46667_BIN_SOCIAL_IMDB_GENRE_PREDICTION,800,11,⚖️ binary,2,IMDB Movies Genre Prediction,0,7,4,0,0,False,False,False,True,False,False,False
League-of-Legends-Diamond-Games-(First-15-Minutes),43635_BIN_SOCIAL_GAMING_LEAGUE_OF_LEGENDS_DIAMOND,48651,14,⚖️ binary,2,League of Legends Diamond Games (First 15 Minutes),0,14,0,0,0,False,False,False,False,False,False,False
Dynamically-Generated-Hate-Speech-Dataset,46683_BIN_SOCIAL_HATE_SPEECH_DATASET_DYNAMICALLY_GENERATED,41144,8,⚖️ binary,2,Dynamically Generated Hate Speech Dataset,4,1,2,0,1,False,False,False,False,False,False,False
jigsaw_unintended_bias100K,46654_BIN_SOCIAL_JIGSAW_TOXICITY,100000,40,⚖️ binary,2,Online Social Media Comments Toxicity,0,37,1,1,1,False,False,False,True,False,False,False
sf-police-incidents,42732_BIN_SOCIAL_POLICE_INCIDENTS_SAN_FRANCISCO,2215023,8,⚖️ binary,2,San Francisco Police Incidents,4,3,1,0,0,True,False,False,False,False,False,False
vote,56_BIN_SOCIAL_POLITICS_US_CONGRESS_VOTES,435,16,⚖️ binary,2,1984 United States Congressional Voting Records,0,0,0,0,16,False,False,False,False,False,False,False
spambase,44_BIN_SOCIAL_SPAM_EMAILS_SPAMBASE,4601,57,⚖️ binary,2,Spam Email Database,0,57,0,0,0,False,False,False,False,False,False,False
SpeedDating,40536_BIN_SOCIAL_SPEED_DATING,8378,120,⚖️ binary,2,Speed Dating Matching,57,59,1,0,3,False,False,False,False,False,False,True
tic-tac-toe,50_BIN_SOCIAL_TIC_TAC_TOE,958,9,⚖️ binary,2,Tic Tac Toe Game between players X and O,9,0,0,0,0,False,False,False,False,False,False,False
Disaster-Tweets,43395_BIN_SOCIAL_TWITTER_DISASTER,11370,4,⚖️ binary,2,Disaster Tweets,0,1,3,0,0,False,False,False,False,False,False,False
