name,sid,examples,features,task_type,d_output,context,feature_CATEGORICAL,feature_NUMERIC,feature_TEXT,feature_DATE,feature_BOOLEAN,benchmark_AMLB,benchmark_CTR23,benchmark_GRINSZTAJN,benchmark_MULTIMODAL,benchmark_VECTORIZING,benchmark_CARTE,benchmark_TABZILLA
kr-vs-kp,3_BIN_SPORTS_CHESS_KR_VS_KP,3196,36,⚖️ binary,2,Chess Game King Rook vs King Pawn,1,0,0,0,35,True,False,False,False,False,False,False
nba-shot-logs,42806_BIN_SPORTS_NBA_SHOTS,128069,15,⚖️ binary,2,NBA 2014-2015 Season Shots Statistics,0,8,4,0,3,False,False,False,False,False,False,False
profb,470_BIN_SPORTS_PRO_FOOTBALL_BETS_PROFB,672,8,⚖️ binary,2,Pro Football Scores Las Vegas Oddsmakers,3,5,0,0,0,False,False,False,False,False,False,True
Run_or_walk_information,40922_BIN_SPORTS_RUN_OR_WALK,88588,6,⚖️ binary,2,Sensor Data from Iphone to detect activity,0,6,0,0,0,False,False,False,False,False,False,False
airlines,1169_BIN_TRANSPORTATION_AIRLINES_DEPARTURE_DELAY,539383,7,⚖️ binary,2,Airlines Departure Delay,2,3,2,0,0,True,False,False,False,False,False,True
kick,41162_BIN_TRANSPORTATION_CAR_BAD_BUY_KICK,72983,32,⚖️ binary,2,Auto Dealership Kicked Cars Prediction,10,15,3,1,3,True,False,False,False,False,False,False
The-Estonia-Disaster-Passenger-List,43389_BIN_TRANSPORTATION_ESTONIA_DISASTER_PASSENGERS,989,6,⚖️ binary,2,Estonian Ferry Disaster Passenger List,1,1,2,0,2,False,False,False,False,False,False,False
road-safety,45038_BIN_TRANSPORTATION_ROAD_SAFETY_GENDER,111762,32,⚖️ binary,2,Road Safety by Driver Gender,0,29,0,0,3,False,False,True,False,False,False,False
Titanic,40945_BIN_TRANSPORTATION_TITANIC_SURVIVAL,1309,13,⚖️ binary,2,Titanic Survival,2,6,4,0,1,False,False,False,False,False,False,False
amazon-commerce-reviews,1457_MUL_ANONYM_AMAZON_COMMERCE_REVIEWS,1500,10000,🎨 multiclass,50,Amazon Users Commerce Reviews,0,7822,0,0,2178,True,False,False,False,False,False,False
cnae-9,1468_MUL_ANONYM_CNAE,1080,856,🎨 multiclass,9,Brazilian Companies,0,97,0,0,759,True,False,False,False,False,False,True
dilbert,41163_MUL_ANONYM_DILBERT,10000,2000,🎨 multiclass,5,Anonymized Dataset: Dilbert,0,2000,0,0,0,True,False,False,False,False,False,False
dna,40670_MUL_ANONYM_DNA,3186,180,🎨 multiclass,3,DNA Sequences,0,0,0,0,180,True,False,False,False,False,False,False
fabert,41164_MUL_ANONYM_FABERT,8237,795,🎨 multiclass,7,Anonymized Dataset: Fabert,0,783,0,0,12,True,False,False,False,False,False,False
first-order-theorem-proving,1475_MUL_ANONYM_FIRST_ORDER_THEOREM_PROVING,6118,51,🎨 multiclass,6,First Order Theorem Proving,0,51,0,0,0,True,False,False,False,False,False,False
mfeat-fourier,14_MUL_ANONYM_FOURIER_IMAGE_COEFFICIENT,2000,76,🎨 multiclass,10,Fourier coefficients of the character shapes,0,76,0,0,0,False,False,False,False,False,False,True
helena,41169_MUL_ANONYM_HELENA,65196,27,🎨 multiclass,100,Anonymized Dataset: Helena,0,27,0,0,0,True,False,False,False,False,False,False
isolet,300_MUL_ANONYM_ISOLET_LETTER_SPEECH_RECOGNITION,7797,617,🎨 multiclass,26,ISOLET - Isolated Letter Speech Recognition,0,613,0,0,4,False,False,False,False,False,False,False
jannis,41168_MUL_ANONYM_JANNIS,83733,54,🎨 multiclass,4,Anonymized Dataset: Jannis,0,54,0,0,0,True,False,True,False,False,False,False
led24,40677_MUL_ANONYM_LED24,3200,24,🎨 multiclass,10,Anonymized: LED24,0,0,0,0,24,False,False,False,False,False,False,False
mfeat-factors,12_MUL_ANONYM_MFEAT_FACTORS,2000,216,🎨 multiclass,10,Features of handwritten numbers from 0 to 9,0,216,0,0,0,True,False,False,False,False,False,False
micro-mass,1515_MUL_ANONYM_MICRO_MASS,571,1082,🎨 multiclass,20,Micro Mass Spectrometry Data,0,1042,0,0,40,True,False,False,False,False,False,False
pendigits,32_MUL_ANONYM_PENDIGITS,10992,16,🎨 multiclass,10,Anonymized Dataset - Pendigits - Handwritten Digits,0,16,0,0,0,False,False,False,False,False,False,False
pol,201_MUL_ANONYM_POL,15000,26,🎨 multiclass,11,Telecommunication Problem,0,26,0,0,0,True,False,True,False,False,False,False
one-hundred-plants-texture,1493_MUL_ANONYM_PLANTS_TEXTURE,1599,64,🎨 multiclass,100,Anonymized: Image data of plant leaves with texture features,0,64,0,0,0,False,False,False,False,False,False,True
robert,41165_MUL_ANONYM_ROBERT,10000,7200,🎨 multiclass,10,Anonymized Dataset: Robert,0,7200,0,0,0,True,False,False,False,False,False,False
spoken-arabic-digit,1503_MUL_ANONYM_SPOKEN_ARABIC_DIGIT,263256,14,🎨 multiclass,10,Spoken Arabic Digit Recognition relying on MFCCs,0,13,0,0,1,False,False,False,False,False,False,False
synthetic_control,377_MUL_ANONYM_SYNTHETIC_CONTROL,600,60,🎨 multiclass,6,Synthetic Control Chart Time Series,0,60,0,0,0,False,False,False,False,False,False,False
volcanoes-e1,1542_MUL_ANONYM_VOLCANOES_VENUS,1183,3,🎨 multiclass,5,Venus Volcanoes from Magellan Spacecraft,0,3,0,0,0,False,False,False,False,False,False,False
volkert,41166_MUL_ANONYM_VOLKERT,58310,147,🎨 multiclass,10,Anonymized Dataset: Volkert,0,147,0,0,0,True,False,False,False,False,False,False
mfeat-zernike,22_MUL_ANONYM_ZERNIKE_MFEAT,2000,47,🎨 multiclass,10,Anonymized Dataset: Zernike Moments of Handwritten Numerals,0,47,0,0,0,False,False,False,False,False,False,True
artificial-characters,1459_MUL_COMPUTERS_IMAGE_ARTIFICIAL_CHARACTERS,10218,7,🎨 multiclass,10,Artificial Characters Image Recognition,0,7,0,0,0,False,False,False,False,False,False,True
CIFAR_10,40927_MUL_COMPUTERS_IMAGE_CIFAR10,60000,3072,🎨 multiclass,10,CIFAR10 Image Recognition Dataset,0,3072,0,0,0,False,False,False,False,False,False,False
GesturePhaseSegmentationProcessed,4538_MUL_COMPUTERS_IMAGE_GESTURE_PHASE_SEGMENTATION,9873,32,🎨 multiclass,5,Gesture Phase Segmentation from Videos,0,32,0,0,0,True,False,False,False,False,False,True
GTSRB-HueHist,41990_MUL_COMPUTERS_IMAGE_GTSRB_GERMAN_TRAFFIC_SIGN,51839,256,🎨 multiclass,43,German Traffic Sign Image Recognition,0,256,0,0,0,False,False,False,False,False,False,False
Indian_pines,41972_MUL_COMPUTERS_IMAGE_INDIAN_PINES,9144,220,🎨 multiclass,8,Image Indian Pines Classification,0,220,0,0,0,False,False,False,False,False,False,False
letter,6_MUL_COMPUTERS_IMAGE_LETTER_RECOGNITION,20000,16,🎨 multiclass,26,Letter Image Recognition Data,0,16,0,0,0,False,False,False,False,False,False,False
mnist_784,554_MUL_COMPUTERS_IMAGE_MNIST_DIGITS,70000,719,🎨 multiclass,10,MNIST Handwritten Digit Recognition,0,700,0,0,19,False,False,False,False,False,False,False
Fashion-MNIST,40996_MUL_COMPUTERS_IMAGE_MNIST_FASHION,70000,784,🎨 multiclass,10,Image Object Classification - MNIST Fashion,0,784,0,0,0,True,False,False,False,False,False,False
Kuzushiji-49,41991_MUL_COMPUTERS_IMAGE_MNIST_JAPANESE_KUZUSHIJI_49,270912,784,🎨 multiclass,49,MNIST Image Recognition Japanese Kuzushiji,0,784,0,0,0,False,False,False,False,False,False,False
optdigits,28_MUL_COMPUTERS_IMAGE_OPT_DIGITS,5620,62,🎨 multiclass,10,Opt Digits Image Recognition,0,59,0,0,3,False,False,False,False,False,False,False
segment,40984_MUL_COMPUTERS_IMAGE_SEGMENTATION,2310,16,🎨 multiclass,7,Outdoors Image Segmentation,0,16,0,0,0,True,False,False,False,False,False,False
KDDCup99,42746_MUL_COMPUTERS_INTRUSION_DETECTION_KDD,4898422,40,🎨 multiclass,20,Software for Network Intrusion Detection,4,31,0,0,5,True,False,False,False,False,False,False
meta_stream_intervals.arff,279_MUL_COMPUTERS_META_STREAM_INTERVALS,45164,74,🎨 multiclass,11,Meta Stream intervals,0,74,0,0,0,False,False,False,False,False,False,False
page-blocks,30_MUL_COMPUTERS_PAGE_BLOCK_PARSING,5473,10,🎨 multiclass,5,Classification of blocks in a document layout,0,10,0,0,0,False,False,False,False,False,False,False
wall-robot-navigation,1497_MUL_COMPUTERS_ROBOT_WALL_NAVIGATION,5456,24,🎨 multiclass,4,Wall Robot Navigation,0,24,0,0,0,False,False,False,False,False,False,False
tamilnadu-electricity,40985_MUL_CONSUMER_ELECTRICITY_TAMILNADU,45781,2,🎨 multiclass,20,Electricity consumption in Tamil Nadu,0,2,0,0,0,False,False,False,False,False,False,False
internet_usage,372_MUL_CONSUMER_INTERNET_USAGE_PROFESSION,10108,71,🎨 multiclass,46,Ealy 1997 Internet Users Profession,18,2,2,0,49,False,False,False,False,False,False,False
product_sentiment_machine_hack,46651_MUL_CONSUMER_PRODUCT_SENTIMENT,5091,2,🎨 multiclass,4,Product Sentiment Analysis,0,1,1,0,0,False,False,False,True,False,False,False
women_clothing_review,46659_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,18788,10,🎨 multiclass,5,Women Clothing E-Commerce Reviews,3,4,2,0,1,False,False,False,True,False,False,False
Multiclass_Classification_for_Corporate_Credit_Ratings,46372_MUL_FINANCIAL_CORPORATE_CREDIT_RATING_CAT,5000,7,🎨 multiclass,10,Corporate Credit Risk Rating,0,7,0,0,0,False,False,False,False,False,False,False
Corporate-Credit-Rating,43344_MUL_FINANCIAL_CORPORATE_CREDIT_RATING_SYMBOL,2026,30,🎨 multiclass,8,Corporate Credit Rating,2,25,2,1,0,False,False,False,False,False,False,False
credit_risk_china,46444_MUL_FINANCIAL_CREDIT_RISK_CHINA,27522,27,🎨 multiclass,5,Personal Chinese Credit Risk Assessment,6,11,0,0,10,False,False,False,False,False,False,False
Credit_Score_Classification,46441_MUL_FINANCIAL_CREDIT_SCORE_HZL,100000,26,🎨 multiclass,3,Customer Credit Score Classification,5,16,5,0,0,False,False,False,False,False,False,False
IBRD_Loans_Classification,46467_MUL_FINANCIAL_LOAN_IBRD,9215,6,🎨 multiclass,10,International Bank for Reconstruction and Development (IBRD) Loans Classification,1,5,0,0,0,False,False,False,False,False,False,False
Online-P2P-Lending,43502_MUL_FINANCIAL_P2P_LOAN,2875146,16,🎨 multiclass,5,P2P Lending,2,10,0,3,1,False,False,False,False,False,False,False
wine-quality-white,40498_MUL_FOOD_WINE_QUALITY_CAT,4898,11,🎨 multiclass,7,Wine Quality Estimation for Red and White Wine,0,11,0,0,0,True,False,False,False,False,False,False
wine_reviews,46653_MUL_FOOD_WINE_REVIEW,84123,5,🎨 multiclass,30,Wine Reviews for Variety Prediction,1,2,2,0,0,False,False,False,True,True,True,False
splice,46_MUL_GENETICS_SPLICE_DNA,3190,60,🎨 multiclass,3,Genetics primate splice-junction gene sequences (DNA),60,0,0,0,0,False,False,False,False,False,False,True
acp-breast-cancer,42895_MUL_GENETICS_ACP_BREAST_CANCER,949,1,🎨 multiclass,4,ACP Breast Cancer Gene Expression Dataset,0,0,1,0,0,False,False,False,False,False,False,False
regensburg_pediatric_appendicitis,46603_MUL_HEALTHCARE_APPENDICITIS_REGENSBURG_PEDIATRIC,780,55,🎨 multiclass,3,Regensburg Pediatric Appendicitis,13,17,0,0,25,False,False,False,False,False,False,False
audiology,7_MUL_HEALTHCARE_AUDIOLOGY_DIAGNOSTIC,192,57,🎨 multiclass,8,Audiology Hearing Tests and Diagnostic Classification,7,0,0,0,50,False,False,False,False,False,False,True
rmftsa_sleepdata,679_MUL_HEALTHCARE_BABY_SLEEP_STATE,1024,2,🎨 multiclass,4,Newborn Baby Sleep States,0,2,0,0,0,False,False,False,False,False,False,False
Cervical_Cancer_Risk_Factors,46592_MUL_HEALTHCARE_CANCER_CERVICAL,858,30,🎨 multiclass,5,Cervical Cancer Risk Factors in Venezuela,0,12,0,0,18,False,False,False,False,False,False,False
cmc,23_MUL_HEALTHCARE_CMC_CONTRACEPTIVE_WOMEN,1473,9,🎨 multiclass,3,Indonesian Woman Contraceptive Prevalence Survey,4,2,0,0,3,True,False,False,False,False,False,False
Diabetes130US,4541_MUL_HEALTHCARE_DIABETES_US130,101766,46,🎨 multiclass,3,Diabetes Patients Readmission Prediction in US Hospitals,22,12,3,0,9,True,False,True,False,False,False,False
EgyptianSkulls,1099_MUL_HEALTHCARE_EGYPTIAN_SKULLS,150,4,🎨 multiclass,5,Egyptian Skulls from different periods,0,4,0,0,0,False,False,False,False,False,False,False
arrhythmia,5_MUL_HEALTHCARE_HEART_ARRHYTMIA,443,262,🎨 multiclass,10,Heart Arrhythmia Detection from ECG Records,0,195,0,0,67,False,False,False,False,False,False,False
cardiotocography,1466_MUL_HEALTHCARE_HEART_CARDIOTOCOGRAPHY,2126,23,🎨 multiclass,10,Cardiotocography - Fetal Cardiotocograms,0,22,0,0,1,False,False,False,False,False,False,False
hepatitis_c_virus_hcv_for_egyptian_patients,46607_MUL_HEALTHCARE_HEPATITIS_C_EGYPT,1385,28,🎨 multiclass,4,Hepatitis C Virus Prediction for Egyptian Patients,0,20,0,0,8,False,False,False,False,False,False,False
hypothyroid,57_MUL_HEALTHCARE_HYPOTHYROID,3770,27,🎨 multiclass,3,Hypothyroidism Patients,1,6,0,0,20,False,False,False,False,False,False,False
lymph,10_MUL_HEALTHCARE_LYMPH_YUGOSLAVIA,148,18,🎨 multiclass,3,Lymphography Study in Yugoslavia,6,3,0,0,9,False,False,False,False,False,False,True
Mental_Health_Dataset,46721_MUL_HEALTHCARE_MENTAL_HEALTH_OCCUPATION,292364,16,🎨 multiclass,5,Mental Health derived from text data and psychological indicators,10,0,0,1,5,False,False,False,False,False,False,False
Estimation_of_Obesity_Levels,46597_MUL_HEALTHCARE_OBESITY_LEVELS,2111,16,🎨 multiclass,7,Obesity Levels Estimation,3,8,0,0,5,False,False,False,False,False,False,False
pbcseq,516_MUL_HEALTHCARE_PBCSEQ_BILIARY_CIRRHOSIS,1945,18,🎨 multiclass,3,Clinical data for Primary Biliary Cirrhosis patients,0,13,0,0,5,False,False,False,False,False,False,False
analcatdata_dmft,469_MUL_HEALTHCARE_TEETH_DMFT_ANALCATDATA,797,4,🎨 multiclass,6,"DMFT Index (Decayed, Missing, and Filled Teeth) before and after different prevention strategies",3,0,0,0,1,False,False,False,False,False,False,False
WBCAtt,46676_MUL_HEALTHCARE_WHITE_BLOOD_CELLS_WBC,10298,11,🎨 multiclass,5,White Blood Cells Morphological Attributes,4,0,0,0,7,False,False,False,False,False,False,False
melbourne_airbnb,46665_MUL_HOUSES_MELBOURNE_AIRBNB,18316,89,🎨 multiclass,10,Melbourne AirBnB Listings,11,25,24,3,26,False,False,False,True,False,False,False
steel-plates-fault,40982_MUL_INDUSTRIAL_STEEL_PLATES_FAULT,1941,27,🎨 multiclass,7,Steel Plates Fault Type Classification,1,24,0,0,2,True,False,False,False,False,False,False
air-quality-and-pollution-assessment,46762_MUL_NATURE_AIR_QUALITY_POLLUTION,5000,9,🎨 multiclass,4,Air Quality and Pollution Assessment from various regions,0,9,0,0,0,False,False,False,False,False,False,False
cjs,23380_MUL_NATURE_CJS_MAPLE_TREES,2796,29,🎨 multiclass,6,Effect of Growth Regulators on Maple Trees Growth,2,27,0,0,0,False,False,False,False,False,False,False
eucalyptus,188_MUL_NATURE_EUCALYPTUS_SEED,736,19,🎨 multiclass,5,Eucalyptus Soil Conservation,5,13,0,0,1,True,False,False,False,False,False,False
covertype,1596_MUL_NATURE_FOREST_COVERTYPE,581012,54,🎨 multiclass,7,Forest Cover Type Prediction from Cartographic Variables,0,10,0,0,44,True,False,True,False,False,False,False
solar_flare,44966_MUL_NATURE_SOLAR_FLARES,1058,9,🎨 multiclass,5,Solar Flares,4,1,0,0,4,False,True,False,False,False,False,False
soybean,42_MUL_NATURE_SOYBEAN_DISEASE,683,35,🎨 multiclass,19,Soybean Disease Diagnosis,19,0,0,0,16,False,False,False,False,False,False,False
yeast,181_MUL_NATURE_YEAST_PROTEIN,1484,8,🎨 multiclass,10,Yeast Protein Localization,0,7,0,0,1,True,False,False,False,False,False,False
data_scientist_salary,46664_MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,15841,6,🎨 multiclass,6,Indian Data Scientist Salary Prediction,1,0,5,0,0,False,False,False,True,False,False,False
nursery,26_MUL_PROFESSIONAL_NURSERY_APPLICATIONS_SLOVENIA,12958,8,🎨 multiclass,4,Nursery School Applications in Slovenia,7,0,0,0,1,False,False,False,False,False,False,False
Student_Performance_on_an_Entrance_Examination,46584_MUL_PROFESSIONAL_STUDENT_PERFORMANCE_ENTRANCE_EXAM,666,11,🎨 multiclass,4,Student Performance on an Entrance Examination,10,0,0,0,1,False,False,False,False,False,False,False
tae,48_MUL_PROFESSIONAL_TEACHER_ASSISTANT_EVALUATION_TAE,151,5,🎨 multiclass,3,Teacher Assistant Evaluation,2,1,0,0,2,False,False,False,False,False,False,False
anneal,2_MUL_SCIENCE_ANNEAL_CHEMICAL,898,18,🎨 multiclass,5,Anneal Chemical Process,5,6,0,0,7,False,False,False,False,False,False,False
balance-scale,11_MUL_SCIENCE_BALANCE_SCALE,625,4,🎨 multiclass,3,Balance Scale Psychological Experiment,0,4,0,0,0,False,False,False,False,False,False,True
BachChoralHarmony,4552_MUL_SCIENCE_BATCH_CHORAL_HARMONY,5586,15,🎨 multiclass,68,Bach Choral Harmony - Chord Recognition,1,2,0,0,12,False,False,False,False,False,False,False
drug-directory,43044_MUL_SCIENCE_DRUG_DIRECTORY_FDA_UNAPPROVED,120215,16,🎨 multiclass,7,"Product listing submitted to the US FDA for unfinished, unapproved drugs",2,2,11,0,1,False,False,False,False,False,False,False
MiceProtein,40966_MUL_SCIENCE_MICE_PROTEIN,1080,77,🎨 multiclass,8,Mice Protein Expression Dataset,0,77,0,0,0,False,False,False,False,False,False,False
mimic_extract_los_3,46678_MUL_SCIENCE_MIMIC_ROUTE,4155270,17,🎨 multiclass,68,MIMIC Route of Drug Administration,2,4,9,2,0,False,False,False,False,False,False,False
QSAR_Bioconcentration_classification,46585_MUL_SCIENCE_QSAR_BIOCONCENTRATION,779,12,🎨 multiclass,3,QSAR Bioconcentration Classification,0,8,2,0,2,False,False,False,False,False,False,False
JapaneseVowels,375_MUL_SCIENCE_VOWEL_JAPANESE,9961,14,🎨 multiclass,9,Japanese Vowels,0,14,0,0,0,False,False,False,False,False,False,False
vowel,307_MUL_SCIENCE_VOWEL_SPEAKER_RECOGNITION,990,12,🎨 multiclass,11,Vowel Speech Recognition,1,10,0,0,1,False,False,False,False,False,False,False
waveform-5000,60_MUL_SCIENCE_WAVEFORM_500,5000,40,🎨 multiclass,3,Waveform Database Generator,0,40,0,0,0,False,False,False,False,False,False,False
social_bias_frames,46701_MUL_SOCIAL_BIAS_FRAMES,144649,16,🎨 multiclass,3,Social Bias Frames,10,0,5,0,1,False,False,False,False,False,False,False
analcatdata_authorship,458_MUL_SOCIAL_BOOKS_AUTHORSHIP_ANALCATDATA,841,70,🎨 multiclass,4,Book Authorship Prediction Based on Word Cnt Usage,1,69,0,0,0,False,False,False,False,False,False,False
collins,40971_MUL_SOCIAL_BROWN_FROWN_CORPORA_COLLINS,1000,19,🎨 multiclass,30,Brown Frown Corpora Collins,0,19,0,0,0,False,False,False,False,False,False,False
DBPedia,46686_MUL_SOCIAL_DPBEDIA,342781,3,🎨 multiclass,219,DBPEDIA Classification,0,1,2,0,0,False,False,False,False,False,False,False
funpedia,46692_MUL_SOCIAL_FUNPEDIA,29819,3,🎨 multiclass,3,Gender Bias Classification - Funpedia,1,0,2,0,0,False,False,False,False,False,False,False
google_qa_question_type_reason_explanation,46658_MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,4863,39,🎨 multiclass,5,Google QA Question Type Reason Explanation,2,29,8,0,0,False,False,False,True,False,False,False
Harry-Potter-fanfiction-data,43544_MUL_SOCIAL_HARRY_POTTER_FAN_FICTION,648493,13,🎨 multiclass,4,Harry Potter Fan Fiction Story,1,2,9,1,0,False,False,False,False,False,False,False
HolisticBias,46684_MUL_SOCIAL_HOLISTIC_BIAS,472991,14,🎨 multiclass,4,Holistic Bias - sentences with demographic identity language,8,0,4,0,2,False,False,False,False,False,False,False
news_channel,46652_MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,20284,17,🎨 multiclass,6,News Channel Prediction,0,16,1,0,0,False,False,False,True,False,False,False
okcupid-stem,42734_MUL_SOCIAL_OKCUPID_DATING_JOB_STEM,50789,19,🎨 multiclass,3,OKCupid Dating Profiles for Job Prediction,13,2,3,0,1,True,False,False,False,False,False,False
SOCC,46709_MUL_SOCIAL_SOCC_OPINION_COMMENTS_CORPUS_TOXICITY,1043,13,🎨 multiclass,4,SOCC Corpus Toxicity Labeling,4,3,3,0,3,False,False,False,False,False,False,False
StackOverflow-polarity,43160_MUL_SOCIAL_STACKOVERFLOW_POLARITY,4423,1,🎨 multiclass,3,StackOverflow Polarity Detection,0,0,1,0,0,False,False,False,False,False,False,False
analcatdata_supreme,504_MUL_SOCIAL_SUPREME_COURT_ANALCATDATA,4052,7,🎨 multiclass,10,Supreme Court Cases,0,2,0,0,5,False,False,False,False,False,False,False
Wikipedia_Talk_Labels,46708_MUL_SOCIAL_WIKIPEDIA_TALK_LABELS_ATTACKS,140379,12,🎨 multiclass,15,Wikipedia Talk - Attacks Labels,4,3,1,0,4,False,False,False,False,False,False,False
ldpa,1483_MUL_SPORTS_ACTIVITY_LOCALIZED_LDPA,164860,6,🎨 multiclass,11,Activity Identification from Localization Data,2,3,0,1,0,False,False,False,False,False,False,False
baseball,185_MUL_SPORTS_BASEBALL_HALL_OF_FAME,1340,16,🎨 multiclass,3,Baseball Players and Play Statistics,1,15,0,0,0,False,False,False,False,False,False,False
jungle_chess_2pcs_raw_endgame_complete,41027_MUL_SPORTS_CHESS_JUNGLE,44819,6,🎨 multiclass,3,Jungle Chess 2pcs Game Endgame,0,6,0,0,0,True,False,False,False,False,False,True
connect-4,40668_MUL_SPORTS_CONNECT4_GAME,67557,42,🎨 multiclass,3,Connect-4 Game Positions,42,0,0,0,0,True,False,False,False,False,False,False
poker-hand,1567_MUL_SPORTS_POKER_HAND,1025009,10,🎨 multiclass,10,Poker Hand,5,5,0,0,0,False,False,False,False,False,False,True
walking-activity,1509_MUL_SPORTS_WALKING_ACTIVITY,149332,4,🎨 multiclass,22,Walking Activity of Users collected from Android Smartphone,0,4,0,0,0,False,False,False,False,False,False,False
Airlines-Tweets-Sentiments,43397_MUL_TRANSPORTATION_AIRLINES_TWITTER_SENTIMENT,1097,1,🎨 multiclass,3,Airlines Tweets Sentiments,0,0,1,0,0,False,False,False,False,False,False,False
car,40975_MUL_TRANSPORTATION_CAR_ACCEPTABILITY,1728,6,🎨 multiclass,4,Car Acceptability Evaluation,6,0,0,0,0,True,False,False,False,False,False,False
cars,455_MUL_TRANSPORTATION_CAR_ORIGIN_COUNTRY,406,7,🎨 multiclass,3,Car Origin Country,1,6,0,0,0,False,False,False,False,False,False,False
insurance_dataset,43157_MUL_TRANSPORTATION_CAR_STUDENT_INSURANCE_RISK,20000,26,🎨 multiclass,4,Car Insurance Risk Evaluation,18,0,0,0,8,False,False,False,False,False,False,False
shuttle,40685_MUL_TRANSPORTATION_SHUTTLE_SPACE,58000,9,🎨 multiclass,7,Shuttle Space,0,9,0,0,0,True,False,False,False,False,False,False
fars,40672_MUL_TRANSPORTATION_TRAFFIC_ACCIDENTS_FARS,100968,29,🎨 multiclass,8,Traffic Accidents,15,14,0,0,0,False,False,False,False,False,False,False
Traffic_violations,42345_MUL_TRANSPORTATION_TRAFFIC_VIOLATION,70340,20,🎨 multiclass,3,Traffic Violations,8,1,5,0,6,False,False,False,False,False,False,False
vehicle,54_MUL_TRANSPORTATION_VEHICLE_SILHOUETTE,846,18,🎨 multiclass,4,Vehicle Silhouettes Detection,0,18,0,0,0,True,False,False,False,False,False,True
Allstate_Claims_Severity,42571_REG_ANONYM_ALLSTATE_CLAIM_SEVERITY,188318,130,📈 regression,1,Allstate Insurance Claims Severity,42,14,2,0,72,True,False,False,False,False,False,False
bank32nh,558_REG_ANONYM_BANK_32NH,8192,32,📈 regression,1,Bank Customers Rejections Rate due to Full Queues,0,32,0,0,0,False,False,False,False,False,False,False
Buzzinsocialmedia_Twitter,4549_REG_ANONYM_BUZZ_IN_SOCIAL_MEDIA_TWITTER,583250,77,📈 regression,1,Buzz in Social Media including Twitter,0,70,0,0,7,True,False,False,False,False,False,False
dionis,41167_REG_ANONYM_DIONIS,416188,54,📈 regression,1,Anonymized Dataset: Dionis,0,54,0,0,0,True,False,False,False,False,False,False
tecator,505_REG_ANONYM_FAT_MEAT_TECATOR,240,124,📈 regression,1,Fat Content of Meat,0,124,0,0,0,True,False,False,False,False,False,False
