name,sid,examples,features,task_type,d_output,context,feature_CATEGORICAL,feature_NUMERIC,feature_TEXT,feature_DATE,feature_BOOLEAN,benchmark_AMLB,benchmark_CTR23,benchmark_GRINSZTAJN,benchmark_MULTIMODAL,benchmark_VECTORIZING,benchmark_CARTE,benchmark_TABZILLA
geographical_origin_of_music,44965_REG_ANONYM_GEOGRAPHICAL_ORIGIN_OF_MUSIC,1059,116,📈 regression,1,Geographical Origin of Music,0,116,0,0,0,False,True,False,False,False,False,False
house_16H,574_REG_ANONYM_HOUSE_16H,22784,16,📈 regression,1,US 1990 Census House Prices,0,16,0,0,0,True,False,True,False,False,False,False
Mercedes_Benz_Greener_Manufacturing,42570_REG_ANONYM_MERCEDES_BENZ_GREENER_MANUFACTURING,4209,364,📈 regression,1,Mercedes Benz Greener Manufacturing,8,0,0,0,356,True,False,False,False,False,False,False
Santander_transaction_value,42572_REG_ANONYM_SANTANDER_TRANSACTION_VALUE,4459,4735,📈 regression,1,Bank Santander Transaction Value,0,4490,0,0,245,True,False,False,False,False,False,False
topo_2_1,422_REG_ANONYM_TOPO,8885,261,📈 regression,1,Topo Molecules,0,258,0,0,3,True,False,False,False,False,False,False
Yolanda,42705_REG_ANONYM_YOLANDA,400000,100,📈 regression,1,Anonymized Data: Yolanda,0,100,0,0,0,True,False,False,False,False,False,False
yprop_4_1,416_REG_ANONYM_YPROP,8885,212,📈 regression,1,YProp Molecules,0,192,0,0,20,True,False,True,False,False,False,False
MIP-2016-regression,43071_REG_COMPUTERS_ALGO_RUNTIME_MIP2016,1090,116,📈 regression,1,Algorithm Runtime Prediction MIP2016,1,107,0,0,8,True,False,False,False,False,False,False
SAT11-HAND-runtime-regression,41980_REG_COMPUTERS_ALGO_RUNTIME_SAT11,4440,114,📈 regression,1,Algorithm Runtime Prediction SAT11,1,113,0,0,0,True,False,False,False,False,False,False
cpu_activity,44978_REG_COMPUTERS_CPU_ACTIVITY,8192,21,📈 regression,1,CPU Activity System Performance,0,21,0,0,0,False,True,True,False,False,False,False
fps_benchmark,44992_REG_COMPUTERS_GAMING_FRAMES_FPS_BENCHMARK,24624,39,📈 regression,1,Gaming Frames Per Second Benchmark,6,25,0,0,8,False,True,False,False,False,False,False
meta,566_REG_COMPUTERS_META_LEVEL_LEARNING,528,21,📈 regression,1,Meta Level Learning,2,18,0,0,1,False,False,False,False,False,False,False
pumadyn32nh,44981_REG_COMPUTERS_PUMA_ROBOT_ARM,8192,32,📈 regression,1,Simulation of acceleration of Puma 560 Robot Arm,0,32,0,0,0,False,True,False,False,False,False,False
kin8nm,44980_REG_COMPUTERS_ROBOT_KIN8NM,8192,8,📈 regression,1,Simulation of Forward Dynamics of an 8 Link Robot Arm,0,8,0,0,0,False,True,False,False,False,False,False
sarcos,44976_REG_COMPUTERS_ROBOT_SARCOS,48933,21,📈 regression,1,Robotics Sarcos Inverse Dynamics,0,21,0,0,0,False,True,False,False,False,False,False
video_transcoding,44974_REG_COMPUTERS_YOUTUBE_VIDEO_TRANSCODING,68784,18,📈 regression,1,Youtube Video Transcoding,2,16,0,0,0,False,True,False,False,False,False,False
ae_price_prediction,46656_REG_CONSUMER_AMERICAN_EAGLE_PRICES,22662,12,📈 regression,1,American Eagle Retailer Price Prediction,4,2,5,0,1,False,False,False,True,False,False,False
avocado-sales,41210_REG_CONSUMER_AVOCADO_SALES,18249,11,📈 regression,1,Avocado Sales in multiple US markets,2,8,0,0,1,False,False,False,False,False,False,False
black_friday,41540_REG_CONSUMER_BLACK_FRIDAY,166821,9,📈 regression,1,Customer purchases on Black Friday,3,4,0,0,2,True,False,False,False,False,False,False
bookprice_prediction,46663_REG_CONSUMER_BOOK_PRICE_PREDICTION,4989,8,📈 regression,1,Book Price Prediction,1,2,5,0,0,False,False,False,True,False,False,False
515K-Hotel-Reviews-Data-in-Europe,43712_REG_CONSUMER_BOOKING_HOTEL_REVIEW,515738,16,📈 regression,1,Booking.com Hotel Reviews in Europe,0,8,7,1,0,False,False,False,False,False,False,False
diamonds,42225_REG_CONSUMER_DIAMONDS_PRICES,53940,9,📈 regression,1,Diamond Prices,3,6,0,0,0,True,True,True,False,False,False,False
jc_penney_products,46661_REG_CONSUMER_JC_PENNEY_PRODUCT_PRICE,10860,5,📈 regression,1,JC Penney Product Prices in Retailer Website,0,2,3,0,0,False,False,False,True,False,False,False
medical_charges,44146_REG_CONSUMER_MEDICAL_CHARGES,163065,3,📈 regression,1,Medical Charges,0,3,0,0,0,False,False,True,False,False,False,False
mercari_price_suggestion100K,46660_REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,100000,9,📈 regression,1,Mercari Online Marketplace Product Prices,1,1,6,0,1,False,False,False,True,False,False,False
news_popularity2,46662_REG_CONSUMER_ONLINE_NEWS_POPULARITY,24007,4,📈 regression,1,Popularity of Online News,0,3,1,0,0,False,False,False,False,False,False,False
REASONER,46681_BIN_CONSUMER_REASONER_RECOMMENDATION,58497,34,⚖️ binary,2,REASONER Recommendation Dataset,0,24,8,0,2,False,False,False,False,False,False,False
Credit-Card-Dataset-for-Clustering,43618_REG_FINANCIAL_CC_USER_SEGMENTATION,8949,16,📈 regression,1,Credit Card User Segmentation,0,16,0,0,0,False,False,False,False,False,False,False
health_insurance,44993_REG_FINANCIAL_INSURANCE_HEALTH_HOURS_WORKED_WIFE,22272,11,📈 regression,1,Health Insurance and Hours Worked by Wife,3,4,0,0,4,False,True,False,False,False,False,False
Insurance-Premium-Data,43463_REG_FINANCIAL_INSURANCE_PREMIUM_DATA,1338,6,📈 regression,1,Insurance Premium Data,1,3,0,0,2,False,False,False,False,False,False,False
stock,223_REG_FINANCIAL_STOCK_AEROSPACE,950,9,📈 regression,1,Stock Prices of Aerospace Companies between 1988-1991,0,9,0,0,0,False,False,False,False,False,False,False
sensory,546_REG_FOOD_WINE_JUDGEMENT_SENSORY,576,11,📈 regression,1,Wine Quality Sensory Judgement,7,0,0,0,4,True,False,False,False,False,False,False
bodyfat,560_REG_HEALTHCARE_BODY_FAT,252,14,📈 regression,1,Body Fat Percentage for men,0,14,0,0,0,False,False,False,False,False,False,False
Diabetes(scikit-learn),44223_REG_HEALTHCARE_DIABETES_SKLEARN,442,10,📈 regression,1,Diabetes Disease Progression Prediction,0,9,0,0,1,False,False,False,False,False,False,False
rmftsa_ladata,666_REG_HEALTHCARE_POLLUTION_LA_MORTALITY_RMFTSA,508,10,📈 regression,1,Pollution Mortality Study in Los Angeles,0,10,0,0,0,False,False,False,False,False,False,False
boston,531_REG_HOUSES_BOSTON_HOUSE,506,13,📈 regression,1,Boston House Prices,1,11,0,0,1,True,False,False,False,False,False,False
house_prices_nominal,42563_REG_HOUSES_BOSTON_PRICE_NOMINAL,1460,79,📈 regression,1,Prices of Boston Houses,39,36,0,0,4,True,False,False,False,False,False,False
Brazilian_houses,42688_REG_HOUSES_BRAZILIAN_HOUSES,10692,11,📈 regression,1,Prices of Brazilian Houses for rent,2,7,0,0,2,True,True,True,False,False,False,False
california_housing,44977_REG_HOUSES_CALIFORNIA_HOUSES,20640,8,📈 regression,1,California Housing Prices,0,8,0,0,0,False,True,True,False,False,False,False
california_house_price,46669_REG_HOUSES_CALIFORNIA_PRICES_2020,37951,39,📈 regression,1,California Houses 2020 Prices,0,18,20,0,1,False,False,False,True,False,False,False
German-House-Prices,43342_REG_HOUSES_GERMAN_HOUSES,10552,24,📈 regression,1,German House Prices,8,11,4,0,1,False,False,False,False,False,False,False
Household-monthly-electricity-bill,43588_REG_HOUSES_HOUSEHOLD_MONTHLY_ELECTRICITY,1000,9,📈 regression,1,Household Monthly Electricity Bill,0,5,0,0,4,False,False,False,False,False,False,False
house_prices,42165_REG_HOUSES_IOWA_HOUSES_PRICES,1460,80,📈 regression,1,"Prices of Houses in Ames, Iowa",39,37,0,0,4,False,False,False,False,False,False,False
Lisbon-House-Prices,43660_REG_HOUSES_LISBON,246,13,📈 regression,1,Lisbon House Prices,3,9,0,0,1,False,False,False,False,False,False,False
miami_housing,44983_REG_HOUSES_MIAMI,13932,15,📈 regression,1,Family Houses sold in Miami,0,14,0,0,1,False,True,True,False,False,False,False
Perth-House-Prices,43822_REG_HOUSES_PERTH,33656,17,📈 regression,1,Perth House Prices,1,13,3,0,0,False,False,False,False,False,False,False
house_sales,42731_REG_HOUSES_SEATTLE_KINGS_COUNTY,21613,21,📈 regression,1,Seattle House Sales,0,19,0,0,2,True,True,True,False,False,False,False
abalone,42726_REG_NATURE_ABALONE_FISH_RINGS,4177,8,📈 regression,1,Abalone Age Prediction through Number of Rings,1,7,0,0,0,True,True,True,False,False,False,False
climate_change_impact_on_agriculture_2024,46726_REG_NATURE_CLIMATE_CHANGE_AGRICULTURE_FINANCIAL,10000,14,📈 regression,1,Climate Change impact on Agriculture,4,10,0,0,0,False,False,False,False,False,False,False
kdd_el_nino-small,563_REG_NATURE_EL_NINO_KDD,709,8,📈 regression,1,Oceonographic and surface meteorogical readings for ENSO cycles,1,7,0,0,0,False,False,False,False,False,False,False
QSAR_fish_toxicity,44970_REG_NATURE_FISH_TOXICITY,908,6,📈 regression,1,Fish Toxicity Prediction,0,6,0,0,0,False,True,False,False,False,False,False
forest_fires,44962_REG_NATURE_FOREST_FIRES,517,12,📈 regression,1,Portugal Forest Fires Burned Area Prediction,2,10,0,0,0,False,True,False,False,False,False,False
Myanmar-Air-Quality(2019-to-2020-Oct),43748_REG_NATURE_MYANMAR_AIR_QUALITY,5122,10,📈 regression,1,Myanmar Air Quality Assessment,2,6,0,1,1,False,False,False,False,False,False,False
no2,547_REG_NATURE_NO2_POLLUTION_NORWAY,500,7,📈 regression,1,Norway Roads NO2 Pollution,0,7,0,0,0,False,False,False,False,False,False,False
pollen,529_REG_NATURE_POLLEN_GRAINS_SYNTH,3848,4,📈 regression,1,Pollen Grains Concentration,0,4,0,0,0,False,False,False,False,False,False,False
Pollen-Luxembourg-1992-2018,43648_REG_NATURE_POLLEN_LUXEMBOURG,7784,36,📈 regression,1,Pollens in Luxembourg,0,35,0,1,0,False,False,False,False,False,False,False
quake,550_REG_NATURE_QUAKE_RICHTER,2178,3,📈 regression,1,Earthquake Richter Scale Prediction,0,3,0,0,0,True,False,False,False,False,False,False
wind,503_REG_NATURE_WIND_SPEED_IRELAND,6574,14,📈 regression,1,Wind speed in Ireland between 1961-1978,0,14,0,0,0,False,False,False,False,False,False,False
cps88wages,44984_REG_PROFESSIONAL_CPS88_WAGES,28155,6,📈 regression,1,CPS 1998 Wages,1,2,0,0,3,False,True,False,False,False,False,False
employee_salaries,42125_REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,9228,11,📈 regression,1,"Employee Salary in Montgomery County, MD",3,2,3,1,2,False,False,False,False,True,True,False
student_performance_por,44967_REG_PROFESSIONAL_STUDENT_PERFORMANCE_PORTUGAL,649,30,📈 regression,1,Portugal Student Performance,14,3,0,0,13,False,True,False,False,False,False,False
airfoil_self_noise,44957_REG_SCIENCE_AIRFOIL_SELF_NOISE,1503,5,📈 regression,1,NASA Aerodynamic and Acoustic Tests of Airfoil Blade Sections,0,5,0,0,0,False,True,False,False,False,False,False
auction_verification,44958_REG_SCIENCE_AUCTION_VERIFICATION,2043,7,📈 regression,1,Simultanous Multi-Round Auction Verification,2,3,0,0,2,False,True,False,False,False,False,False
concrete_compressive_strength,44959_REG_SCIENCE_CONCRETE_COMPRESSIVE_STRENGTH,1030,8,📈 regression,1,Concrete Compressive Strength,0,8,0,0,0,False,True,False,False,False,False,False
energy_efficiency,44960_REG_SCIENCE_ENERGY_EFFICIENCY,768,8,📈 regression,1,Energy Efficiency of Buildings,0,7,0,0,1,False,True,False,False,False,False,False
grid_stability,44973_REG_SCIENCE_GRID_STABILITY,10000,12,📈 regression,1,Grid Stability Analysis,0,12,0,0,0,False,True,False,False,False,False,False
physiochemical_protein,44963_REG_SCIENCE_PHYSIOCHEMICAL_PROTEIN,45730,9,📈 regression,1,Physiochemical Protein for Tertiary Structure,0,9,0,0,0,False,True,False,False,False,False,False
QSAR-TID-11,3050_REG_SCIENCE_QSAR_TID_11,5742,1024,📈 regression,1,QSAR TID 11 - Molecular Fingerprints,0,0,0,0,1024,True,False,False,False,False,False,False
QSAR-TID-10980,3277_REG_SCIENCE_QSAR_TID_10980,5766,1024,📈 regression,1,QSAR TID 10980 - Molecular Fingerprints,0,0,0,0,1024,True,False,False,False,False,False,False
2dplanes,215_REG_SCIENCE_SIMULATION_2D_PLANES,40768,10,📈 regression,1,2d Planes Artificial Data,0,9,0,0,1,False,False,False,False,False,False,False
fried,564_REG_SCIENCE_SIMULATION_FRIED_FORMULA_PREDICT,40768,10,📈 regression,1,Synthetic Formula Solving,0,10,0,0,0,False,False,False,False,False,False,False
mv,344_REG_SCIENCE_SIMULATION_MV,40768,10,📈 regression,1,Synthetic Distribution MV,1,7,0,0,2,False,False,False,False,False,False,False
sulfur,44145_REG_SCIENCE_SULFUR,10081,5,📈 regression,1,Sulfur Recovery Unit (SRU) Process prediction by gas and air flows,0,5,0,0,0,False,False,True,False,False,False,False
superconductivity,44964_REG_SCIENCE_SUPERCONDUCTIVITY,21263,81,📈 regression,1,Superconductors Critical Temperature Prediction,0,81,0,0,0,False,True,True,False,False,False,False
wave_energy,44975_REG_SCIENCE_WAVE_ENERGY,72000,32,📈 regression,1,Wave Energy Converters in Southern Coast of Australia,0,32,0,0,0,False,True,False,False,False,False,False
colleges,42727_REG_SOCIAL_COLLEGES_GRANTS,7063,44,📈 regression,1,US Colleges and their grants,10,32,2,0,0,True,False,False,False,False,False,False
socmob,541_REG_SOCIAL_OCCUPATION_MOBILITY_SOCMOB,1156,5,📈 regression,1,Social Mobility Occupation between generations,2,1,0,0,2,True,True,False,False,False,False,True
dating_profile,42164_REG_SOCIAL_OKCUPID_DATING_PROFILE_AGE,59946,30,📈 regression,1,OKCupid Online Dating Profile,13,2,14,0,1,False,False,False,False,False,False,False
strikes,549_REG_SOCIAL_STRIKES_PER_COUNTRY,625,6,📈 regression,1,Strikes in 18 OECD countries from 1951-1985,0,6,0,0,0,False,False,False,False,False,False,False
us_crime,42730_REG_SOCIAL_US_CRIME,1994,126,📈 regression,1,US Census Crime Data per County,0,126,0,0,0,True,False,False,False,False,False,False
space_ga,507_REG_SOCIAL_VOTING_SPACE_GEOGRAPHIC_ANALYSIS,3107,6,📈 regression,1,US County 1980 Elections Voting by County,0,6,0,0,0,True,True,False,False,False,False,False
baseball-hitter,525_REG_SPORTS_BASEBALL_HITTER_SALARY,263,22,📈 regression,1,Major League Baseball Hitters 1987,3,16,0,0,3,False,False,False,False,False,False,False
FIFA20-Players-Dataset-with-Stats--Images,43766_REG_SPORTS_FIFA20_PLAYERS_VALUE,14999,72,📈 regression,1,FIFA 2020 Players Stats Value Prediction,4,61,4,2,1,False,False,False,False,False,False,False
fifa,45012_REG_SPORTS_FIFA22_WAGES,19178,28,📈 regression,1,FIFA 2022 Players Wages,0,27,1,0,0,False,True,False,False,False,True,False
Football_players_Fifa_stats,42194_REG_SPORTS_FIFA_PLAYERS_STATS,183142,37,📈 regression,1,FIFA Players Stats 2008-2016,2,34,0,0,1,False,False,False,False,False,False,False
Moneyball,41021_REG_SPORTS_MONEYBALL,1232,14,📈 regression,1,Moneyball Dataset for Baseball Team Performance,4,8,0,0,2,True,True,False,False,False,False,False
NBA-2k20-player-dataset,43420_REG_SPORTS_NBA_2K20_PLAYERS_RATING,439,14,📈 regression,1,NBA Players in NBA 2k20 Game,7,3,2,1,1,False,False,False,False,False,False,False
NBA-PLAYERS--2016-2019,43653_REG_SPORTS_NBA_ALL_STAR,1408,43,📈 regression,1,NBA Players All Star Game Performance,4,35,1,0,3,False,False,False,False,False,False,False
cars,44994_REG_TRANSPORTATION_CAR_GM_PRICE,804,17,📈 regression,1,Car GM Price,0,2,0,0,15,False,True,False,False,False,False,False
elevators,216_REG_TRANSPORTATION_FLIGHT_SIMULATION_ELEVATORS,16599,18,📈 regression,1,F16 Flight Simulation Elevators,0,18,0,0,0,True,False,True,False,False,False,True
naval_propulsion_plant,44969_REG_TRANSPORTATION_NAVAL_PROPULSION_PLANT,11934,14,📈 regression,1,Naval Propulsion Plant Gas Turbines,0,14,0,0,0,False,True,False,False,False,False,False
New-York-Citi-Bike-Trip-Duration-2016,43573_REG_TRANSPORTATION_NYC_BIKE_TRIP_DURATION,4500000,7,📈 regression,1,New York City Bike Trip Duration,0,5,0,2,0,False,False,False,False,False,False,False
nyc-taxi-green-dec-2016,42729_REG_TRANSPORTATION_NYC_TAXI_TIP,581835,18,📈 regression,1,New York City Taxi Green Tip Amount,4,11,0,0,3,True,False,True,False,False,False,False
New-York-Taxi-Trip-enriched-by-Mathematica,43584_REG_TRANSPORTATION_NYC_TAXI_TRIP_DURATION,2083778,21,📈 regression,1,New York City Taxi Trip Duration,3,14,0,0,4,False,False,False,False,False,False,False
seoul_bike_sharing_demand_cat,46328_REG_TRANSPORTATION_SEOUL_BIKE_SHARING_DEMAND,8760,13,📈 regression,1,Seoul Bike Sharing Demand,1,9,0,1,2,False,False,False,False,False,False,False
USA-Airport-Dataset,43479_REG_TRANSPORTATION_US_AIRPORT_PASSENGERS,3606803,14,📈 regression,1,US Domestic Flights,0,9,4,1,0,False,False,False,False,False,False,False
Bike_Sharing_Demand,42712_REG_TRANSPORTATION_US_BIKE_SHARING_DEMAND,17379,12,📈 regression,1,US Bike Sharing Demand,2,7,0,0,3,False,False,True,False,False,False,False
delays_zurich_transport,40753_REG_TRANSPORTATION_ZURICH_PUBLIC_TRANSPORT_DELAY,5465575,14,📈 regression,1,Zurich Public Transport Delay,2,10,0,1,1,False,False,True,False,False,False,False
human-choice-prediction-in-language-based-games,BIN_SOCIAL_HUMAN_CHOICE_PREDICTION_LM_GAMES,71579,20,⚖️ binary,2,Human Choice Prediction in Language-based Games,0,7,6,0,7,False,False,False,False,False,False,False
michelin-guide-restaurants-2021,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,17735,11,🎨 multiclass,5,Michelin Guide Restaurants Awards,1,3,6,0,1,False,False,False,False,False,True,False
yelp-reviews-dataset,MUL_FOOD_YELP_REVIEWS,10000,5,🎨 multiclass,5,YELP Dataset Reviews,0,3,1,1,0,False,False,False,False,False,True,False
game-of-thrones-script-all-seasons,MUL_SOCIAL_GOT_SCRIPTS,16825,5,🎨 multiclass,43,Game of Thrones Scripts All Seasons,3,0,1,1,0,False,False,False,False,False,False,False
us-2020-presidential-election-speeches,MUL_SOCIAL_US_ELECTIONS_SPEECHES,245,5,🎨 multiclass,7,US 2020 Elections Speeches,2,0,2,1,0,False,False,False,False,False,False,False
us-accidents,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,7728394,42,🎨 multiclass,4,US Accidents between 2016 and 2023,4,12,7,3,16,False,False,False,False,True,True,False
used-cars-dataset-cardekho,REG_CONSUMER_CAR_PRICE_CARDEKHO,37814,112,📈 regression,1,User cars and listing price in the website Cardekho,28,30,42,0,12,False,False,False,False,False,True,False
wikiliq-dataset,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,12569,12,📈 regression,1,"WikiliQ - Alcohol dataset (May, 2022)",1,4,6,0,1,False,False,False,False,False,True,False
beer-profile-and-ratings-data-set,REG_FOOD_BEER_RATINGS,3197,24,📈 regression,1,Tasting profiles and consumer reviews for beers,0,19,5,0,0,False,False,False,False,False,True,False
chocolate-bar-ratings,REG_FOOD_CHOCOLATE_BAR_RATINGS,1795,8,📈 regression,1,Chocolate Bar expert ratings,2,3,3,0,0,False,False,False,False,False,True,False
coffee-scrap-coffeereview,REG_FOOD_COFFEE_REVIEW,2440,17,📈 regression,1,Coffee Review Rating,2,6,9,0,0,False,False,False,False,False,True,False
top-ramen-ratings-2022,REG_FOOD_RAMEN_RATINGS_2022,4105,4,📈 regression,1,Ramen Ratings,2,0,2,0,0,False,False,False,False,True,True,False
scotch-whiskey-reviews-update-2020,REG_FOOD_WHISKY_SCOTCH_REVIEWS,2247,4,📈 regression,1,Scotch Whiskey Reviews 2020,1,0,3,0,0,False,False,False,False,False,False,False
wine-price-on-polish-market,REG_FOOD_WINE_POLISH_MARKET_PRICES,2247,18,📈 regression,1,Information about wines on the polish market,7,4,5,0,2,False,False,False,False,False,True,False
vivino-wine-data,REG_FOOD_WINE_VIVINO_SPAIN,8650,6,📈 regression,1,Vivino Spanish Wine Data,2,2,2,0,0,False,False,False,False,False,True,False
zomato-bangalore-restaurants,REG_FOOD_ZOMATO_RESTAURANTS,41665,15,📈 regression,1,Zomato Restaurants in Bengaluru,5,1,7,0,2,False,False,False,False,True,True,False
free-7-million-company-dataset,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,7173426,7,📈 regression,1,Company size prediction,0,1,6,0,0,False,False,False,False,True,True,False
animeplanet-recommendation-database-2020,REG_SOCIAL_ANIME_PLANET_RATING,14391,14,📈 regression,1,Anime-Planet Recommendation Database 2020,1,5,7,0,1,False,False,False,False,False,True,False
clear-corpus,REG_SOCIAL_BOOK_READABILITY_CLEAR,4724,30,📈 regression,1,Readability scores for text passages spanning various genres and time periods,4,19,6,0,1,False,False,False,False,True,True,False
filmtv-movies-dataset,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,41399,17,📈 regression,1,FilmTV movies ataset rating,1,10,6,0,0,False,False,False,False,False,True,False
top-korean-drama-list-1500,REG_SOCIAL_KOREAN_DRAMA,1647,9,📈 regression,1,Korean Dramas,1,2,6,0,0,False,False,False,False,False,True,False
the-movies-dataset,REG_SOCIAL_MOVIES_DATASET_REVENUE,45460,20,📈 regression,1,Metadata of movies released until 2017 for box-office revenues,2,4,12,0,2,False,False,False,False,False,True,False
museums,REG_SOCIAL_MUSEUMS_US_REVENUES,22290,21,📈 regression,1,General information on the US museums,3,9,9,0,0,False,False,False,False,False,True,False
-spotify-tracks-dataset,REG_SOCIAL_SPOTIFY_POPULARITY,114000,18,📈 regression,1,Spotify Tracks Popularity,0,12,4,0,2,False,False,False,False,True,False,False
videogamesales,REG_SOCIAL_VIDEO_GAMES_SALES,16598,5,📈 regression,1,Video Games Sales,2,1,2,0,0,False,False,False,False,False,True,False
football-manager-data,REG_SPORTS_FOOTBALL_MANAGER_IMPORTANT_MATCHES,159541,87,📈 regression,1,Football Manager Stats: Important Matches,0,84,3,0,0,False,False,False,False,False,False,False
nba-draft-basketball-player-data-19892021,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,1669,22,📈 regression,1,NBA Draft Basketball Player Data 1989-2021,1,19,2,0,0,False,False,False,False,False,True,False
second-hand-mercedes-benz-registered-2000-2023-ita,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,16392,7,📈 regression,1,Second-hand cars Mercedes Benz price Italy,1,1,2,1,2,False,False,False,False,False,True,False
used-car-prices-in-pakistan-2021,REG_TRANSPORTATION_USED_CAR_PAKISTAN,72655,9,📈 regression,1,Used car prices in Pakistan 2021,1,3,3,0,2,False,False,False,False,False,True,False
saudi-arabia-used-cars-dataset,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,8035,12,📈 regression,1,Saudi Arabia Used Cars Price from Syarah Website,6,3,1,0,2,False,False,False,False,False,True,False
,REG_CONSUMER_BABIES_R_US_PRICES,5085,12,📈 regression,1,Prices Prediction for baby product from Babies R Us website,7,0,4,0,1,False,False,False,False,False,True,False
,REG_CONSUMER_BIKE_PRICE_BIKEWALE,9003,6,📈 regression,1,Bike and scooters from bikewale website in India,2,2,2,0,0,False,False,False,False,True,True,False
,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,44574,5,📈 regression,1,Employee Remuneration and Expenses - Vancouver,1,2,2,0,0,False,False,False,False,True,True,False
,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,119628,9,📈 regression,1,Salaries of ML/DS Professionals Worldwide,6,2,1,0,0,False,False,False,False,False,True,False
,REG_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,31136,21,📈 regression,1,Academic impact for Scientific Journals,3,8,10,0,0,False,False,False,False,False,True,False
,REG_SOCIAL_BOOKS_GOODREADS,3967,14,📈 regression,1,Books ratings,2,3,8,1,0,False,False,False,False,True,False,False
,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,7158,15,📈 regression,1,Rotten Tomatoes Movie Ratings,0,2,13,0,0,False,False,False,False,False,True,False
